Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell
javapoet,com.squareup.javapoet,AbstractTypesTest,getBasicTypeMirror,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
javapoet,com.squareup.javapoet,AbstractTypesTest,getBasicTypeMirror,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.squareup.javapoet.TypeName.get; com.squareup.javapoet.ClassName.get
javapoet,com.squareup.javapoet,AbstractTypesTest,errorTypes,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
javapoet,com.squareup.javapoet,AbstractTypesTest,getTypeVariableTypeMirror,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
javapoet,com.squareup.javapoet,AbstractTypesTest,getTypeVariableTypeMirror,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.squareup.javapoet.TypeVariableName.get; com.squareup.javapoet.TypeName.get; com.squareup.javapoet.ClassName.get
javapoet,com.squareup.javapoet,AbstractTypesTest,getTypeVariableTypeMirrorRecursive,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
javapoet,com.squareup.javapoet,AbstractTypesTest,getTypeVariableTypeMirrorRecursive,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.squareup.javapoet.TypeName.get; com.squareup.javapoet.TypeName.toString
javapoet,com.squareup.javapoet,AbstractTypesTest,getPrimitiveTypeMirror,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 8
javapoet,com.squareup.javapoet,AbstractTypesTest,box,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
javapoet,com.squareup.javapoet,AbstractTypesTest,box,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.squareup.javapoet.TypeName.box; com.squareup.javapoet.ClassName.get
javapoet,com.squareup.javapoet,AbstractTypesTest,unbox,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
javapoet,com.squareup.javapoet,AbstractTypesTest,unbox,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.squareup.javapoet.TypeName.unbox; com.squareup.javapoet.ClassName.get
javapoet,com.squareup.javapoet,AnnotatedTypeNameTest,annotated,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
javapoet,com.squareup.javapoet,AnnotatedTypeNameTest,annotatedEquivalence,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
javapoet,com.squareup.javapoet,AnnotatedTypeNameTest,withoutAnnotationsOnAnnotatedEnclosingAndNestedType,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
javapoet,com.squareup.javapoet,AnnotatedTypeNameTest,withoutAnnotationsOnAnnotatedEnclosingAndNestedType,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.squareup.javapoet.ClassName.nestedClass; com.squareup.javapoet.TypeName.isAnnotated; com.squareup.javapoet.TypeName.withoutAnnotations
javapoet,com.squareup.javapoet,AnnotatedTypeNameTest,withoutAnnotationsOnAnnotatedEnclosingType,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
javapoet,com.squareup.javapoet,AnnotatedTypeNameTest,withoutAnnotationsOnAnnotatedEnclosingType,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.squareup.javapoet.ClassName.nestedClass; com.squareup.javapoet.TypeName.isAnnotated; com.squareup.javapoet.TypeName.withoutAnnotations
javapoet,com.squareup.javapoet,AnnotatedTypeNameTest,withoutAnnotationsOnAnnotatedNestedType,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
javapoet,com.squareup.javapoet,AnnotatedTypeNameTest,withoutAnnotationsOnAnnotatedNestedType,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.squareup.javapoet.ClassName.nestedClass; com.squareup.javapoet.TypeName.isAnnotated; com.squareup.javapoet.TypeName.withoutAnnotations
javapoet,com.squareup.javapoet,AnnotationSpecTest,equalsAndHashCode,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
javapoet,com.squareup.javapoet,AnnotationSpecTest,equalsAndHashCode,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.squareup.javapoet.AnnotationSpec.equals; com.squareup.javapoet.AnnotationSpec.hashCode
javapoet,com.squareup.javapoet,AnnotationSpecTest,emptyArray,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
javapoet,com.squareup.javapoet,AnnotationSpecTest,dynamicArrayOfEnumConstants,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
javapoet,com.squareup.javapoet,AnnotationSpecTest,dynamicArrayOfEnumConstants,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.squareup.javapoet.AnnotationSpec.toString; com.squareup.javapoet.AnnotationSpec.toBuilder
javapoet,com.squareup.javapoet,AnnotationSpecTest,disallowsNullMemberName,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
javapoet,com.squareup.javapoet,AnnotationSpecTest,disallowsNullMemberName,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
javapoet,com.squareup.javapoet,AnnotationSpecTest,requiresValidMemberName,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
javapoet,com.squareup.javapoet,AnnotationSpecTest,requiresValidMemberName,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
javapoet,com.squareup.javapoet,ClassNameTest,bestGuessNonAscii,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
javapoet,com.squareup.javapoet,ClassNameTest,bestGuessNonAscii,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.squareup.javapoet.ClassName.simpleName; com.squareup.javapoet.ClassName.bestGuess; com.squareup.javapoet.ClassName.packageName
javapoet,com.squareup.javapoet,ClassNameTest,bestGuessForString_nestedClass,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
javapoet,com.squareup.javapoet,ClassNameTest,bestGuessForString_defaultPackage,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
javapoet,com.squareup.javapoet,ClassNameTest,bestGuessForString_confusingInput,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
javapoet,com.squareup.javapoet,ClassNameTest,createNestedClass,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
javapoet,com.squareup.javapoet,ClassNameTest,classNameFromTypeElement,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
javapoet,com.squareup.javapoet,ClassNameTest,classNameFromTypeElementDoesntUseGetKind,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
javapoet,com.squareup.javapoet,ClassNameTest,classNameFromClass,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
javapoet,com.squareup.javapoet,ClassNameTest,classNameFromClass,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.squareup.javapoet.TypeName.toString; com.squareup.javapoet.ClassName.get
javapoet,com.squareup.javapoet,ClassNameTest,peerClass,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
javapoet,com.squareup.javapoet,ClassNameTest,peerClass,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.squareup.javapoet.ClassName.peerClass; com.squareup.javapoet.ClassName.get
javapoet,com.squareup.javapoet,ClassNameTest,reflectionName,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
javapoet,com.squareup.javapoet,ClassNameTest,reflectionName,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.squareup.javapoet.ClassName.get; com.squareup.javapoet.ClassName.reflectionName
javapoet,com.squareup.javapoet,ClassNameTest,canonicalName,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
javapoet,com.squareup.javapoet,ClassNameTest,canonicalName,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.squareup.javapoet.ClassName.canonicalName; com.squareup.javapoet.ClassName.get
javapoet,com.squareup.javapoet,CodeBlockTest,equalsAndHashCode,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
javapoet,com.squareup.javapoet,CodeBlockTest,equalsAndHashCode,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.squareup.javapoet.CodeBlock.builder; com.squareup.javapoet.CodeBlock.equals; com.squareup.javapoet.CodeBlock.hashCode
javapoet,com.squareup.javapoet,CodeBlockTest,isEmpty,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
javapoet,com.squareup.javapoet,CodeBlockTest,indentCannotBeIndexed,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
javapoet,com.squareup.javapoet,CodeBlockTest,deindentCannotBeIndexed,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
javapoet,com.squareup.javapoet,CodeBlockTest,dollarSignEscapeCannotBeIndexed,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
javapoet,com.squareup.javapoet,CodeBlockTest,statementBeginningCannotBeIndexed,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
javapoet,com.squareup.javapoet,CodeBlockTest,statementEndingCannotBeIndexed,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
javapoet,com.squareup.javapoet,CodeBlockTest,missingNamedArgument,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
javapoet,com.squareup.javapoet,CodeBlockTest,lowerCaseNamed,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
javapoet,com.squareup.javapoet,CodeBlockTest,danglingNamed,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
javapoet,com.squareup.javapoet,CodeBlockTest,indexTooHigh,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
javapoet,com.squareup.javapoet,CodeBlockTest,indexIsZero,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
javapoet,com.squareup.javapoet,CodeBlockTest,indexIsNegative,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
javapoet,com.squareup.javapoet,CodeBlockTest,indexWithoutFormatType,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
javapoet,com.squareup.javapoet,CodeBlockTest,indexWithoutFormatTypeNotAtStringEnd,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
javapoet,com.squareup.javapoet,CodeBlockTest,indexButNoArguments,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
javapoet,com.squareup.javapoet,CodeBlockTest,formatIndicatorAlone,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
javapoet,com.squareup.javapoet,CodeBlockTest,formatIndicatorWithoutIndexOrFormatType,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
javapoet,com.squareup.javapoet,CodeBlockTest,tooManyStatementEnters,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
javapoet,com.squareup.javapoet,CodeBlockTest,statementExitWithoutStatementEnter,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
javapoet,com.squareup.javapoet,FieldSpecTest,equalsAndHashCode,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
javapoet,com.squareup.javapoet,FieldSpecTest,equalsAndHashCode,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.squareup.javapoet.FieldSpec.equals; com.squareup.javapoet.FieldSpec.hashCode; com.squareup.javapoet.FieldSpec.toString
javapoet,com.squareup.javapoet,FieldSpecTest,nullAnnotationsAddition,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
javapoet,com.squareup.javapoet,FileReadingTest,javaFileObjectUri,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
javapoet,com.squareup.javapoet,FileReadingTest,javaFileObjectUri,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.squareup.javapoet.JavaFile.builder; com.squareup.javapoet.TypeSpec.classBuilder; com.squareup.javapoet.JavaFile.toJavaFileObject
javapoet,com.squareup.javapoet,FileReadingTest,javaFileObjectCharacterContent,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
javapoet,com.squareup.javapoet,FileReadingTest,javaFileObjectCharacterContent,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.squareup.javapoet.JavaFile.builder; com.squareup.javapoet.JavaFile.toString; com.squareup.javapoet.MethodSpec.methodBuilder; com.squareup.javapoet.TypeSpec.classBuilder; com.squareup.javapoet.JavaFile.toJavaFileObject
javapoet,com.squareup.javapoet,FileReadingTest,compileJavaFile,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
javapoet,com.squareup.javapoet,FileReadingTest,compileJavaFile,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.squareup.javapoet.JavaFile.builder; com.squareup.javapoet.MethodSpec.methodBuilder; com.squareup.javapoet.TypeSpec.classBuilder; com.squareup.javapoet.JavaFile.toJavaFileObject
javapoet,com.squareup.javapoet,FileWritingTest,pathNotDirectory,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
javapoet,com.squareup.javapoet,FileWritingTest,fileNotDirectory,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
javapoet,com.squareup.javapoet,FileWritingTest,pathNestedClasses,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
javapoet,com.squareup.javapoet,FileWritingTest,pathNestedClasses,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.squareup.javapoet.JavaFile.builder; com.squareup.javapoet.TypeSpec.classBuilder
javapoet,com.squareup.javapoet,FileWritingTest,fileNestedClasses,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
